MUNCODMUN;"MUNNOMMUN";CALCODCAL;"CALCODSIG";"CALNOMCAL";"CALNOMCOR"
44;"OVIEDO                                            ";4130;"CALLE";"COLEGIO SANTA TERESA DE JESUS                     ";"COLEGIO SANTA TERESA     "
44;"OVIEDO                                            ";4129;"CALLE";"COLEGIO SANTO ANGEL DE LA GUARDA                  ";"COLEGIO SANTO ANGEL      "
44;"OVIEDO                                            ";4125;"CALLE";"COLEGIO SANTO DOMINGO DE GUZMAN                   ";"COLEGIO SANTO DOMINGO    "
44;"OVIEDO                                            ";4124;"CALLE";"COLEGIO VIRGEN MILAGROSA                          ";"COLEGIO VIRGEN MILAGROSA "
44;"OVIEDO                                            ";697;"CALLE";"COLENXU                                           ";"COLENXU                  "
44;"OVIEDO                                            ";112;"AVDA ";"COLON DE                                          ";"COLON DE                 "
44;"OVIEDO                                            ";113;"CALLE";"COMANDANTE BRUZO                                  ";"COMANDANTE BRUZO         "
44;"OVIEDO                                            ";117;"CALLE";"CONCEPCION                                        ";"CONCEPCION               "
44;"OVIEDO                                            ";114;"CALLE";"CONCEPCION ARENAL                                 ";"CONCEPCION ARENAL        "
44;"OVIEDO                                            ";695;"PLAZA";"CONCEYIN DEL                                      ";"CONCEYIN DEL             "
44;"OVIEDO                                            ";1836;"LUGAR";"CONCEYIN-CORREDORIA                               ";"CONCEYIN-CORREDORIA      "
44;"OVIEDO                                            ";4005;"PLAZA";"CONCHA HERES                                      ";"CONCHA HERES             "
44;"OVIEDO                                            ";118;"CALLE";"CONCINOS                                          ";"CONCINOS                 "
44;"OVIEDO                                            ";2004;"LUGAR";"CONDADO EL                                        ";"CONDADO EL               "
44;"OVIEDO                                            ";119;"CALLE";"CONDE DE TORENO                                   ";"CONDE DE TORENO          "
44;"OVIEDO                                            ";690;"PLAZA";"CONSEJO DE EUROPA                                 ";"CONSEJO DE EUROPA        "
44;"OVIEDO                                            ";1402;"LUGAR";"CONSTANTE                                         ";"CONSTANTE                "
44;"OVIEDO                                            ";120;"CALLE";"CONSTANTINO CABAL                                 ";"CONSTANTINO CABAL        "
44;"OVIEDO                                            ";121;"PLAZA";"CONSTITUCION DE LA                                ";"CONSTITUCION DE LA       "
44;"OVIEDO                                            ";122;"CALLE";"CONSUL                                            ";"CONSUL                   "
44;"OVIEDO                                            ";903;"LUGAR";"CONTRIZ LA                                        ";"CONTRIZ LA               "
44;"OVIEDO                                            ";706;"GRUP ";"COOPERATIVA SANTA TERESA SOTO ABAJO               ";"COOPERATIVA SANTA TERESA "
44;"OVIEDO                                            ";2538;"LUGAR";"CORNAU                                            ";"CORNAU                   "
44;"OVIEDO                                            ";2811;"GRUP ";"CORONEL BAEZA                                     ";"CORONEL BAEZA            "
44;"OVIEDO                                            ";124;"CALLE";"CORONEL BOBES                                     ";"CORONEL BOBES            "
44;"OVIEDO                                            ";704;"GRUP ";"CORONEL ESTEBAN-SOTO DE ABAJO                     ";"C. ESTEBAN-SOTO DE ABAJO "
44;"OVIEDO                                            ";2816;"CALLE";"CORONEL HERNANDO ESPINOSA                         ";"CORONEL HERNANDO ESPINOSA"
44;"OVIEDO                                            ";334;"PLAZA";"CORRADA DEL OBISPO                                ";"CORRADA DEL OBISPO       "
44;"OVIEDO                                            ";2307;"LUGAR";"CORRAPIEDRA LA                                    ";"CORRAPIEDRA LA           "
44;"OVIEDO                                            ";1834;"CTRA ";"CORREDORIA ALTA                                   ";"CORREDORIA ALTA          "
44;"OVIEDO                                            ";1835;"CTRA ";"CORREDORIA BAJA                                   ";"CORREDORIA BAJA          "
44;"OVIEDO                                            ";1725;"CALLE";"CORSINO NAVES LLANEZA                             ";"CORSINO NAVES LLANEZA    "
44;"OVIEDO                                            ";786;"PQUE ";"CORSINO SUAREZ MIRANDA                            ";"CORSINO SUAREZ MIRANDA   "
44;"OVIEDO                                            ";1850;"LUGAR";"CORTIJO EL                                        ";"CORTIJO EL               "
44;"OVIEDO                                            ";1504;"LUGAR";"CORTINA                                           ";"CORTINA                  "
44;"OVIEDO                                            ";126;"CALLE";"CORUÑA LA                                         ";"CORUÑA LA                "
44;"OVIEDO                                            ";788;"CALLE";"CORVERA                                           ";"CORVERA                  "
44;"OVIEDO                                            ";1205;"LUGAR";"CORZOS LOS                                        ";"CORZOS LOS               "
44;"OVIEDO                                            ";128;"CALLE";"COSTA VERDE                                       ";"COSTA VERDE              "
44;"OVIEDO                                            ";3511;"LUGAR";"COTARIELLO-CACES                                  ";"COTARIELLO-CACES         "
44;"OVIEDO                                            ";3338;"LUGAR";"COTARIELLO-TUDELA VEGUIN                          ";"COTARIELLO-TUDELA VEGUIN "
44;"OVIEDO                                            ";2507;"LUGAR";"COTAYON-SAN CLAUDIO                               ";"COTAYON                  "
44;"OVIEDO                                            ";3308;"LUGAR";"COTO LA PILA                                      ";"COTO LA PILA             "
44;"OVIEDO                                            ";129;"CALLE";"COVADONGA                                         ";"COVADONGA                "
44;"OVIEDO                                            ";3606;"LUGAR";"COVADONGA-CRUCES                                  ";"COVADONGA-CRUCES         "
44;"OVIEDO                                            ";705;"GRUP ";"COVADONGA-SOTO ABAJO                              ";"COVADONGA-SOTO ABAJO     "
44;"OVIEDO                                            ";130;"AVDA ";"CRISTO DE LAS CADENAS                             ";"CRISTO DE LAS CADENAS    "
44;"OVIEDO                                            ";3607;"LUGAR";"CRUCE EL-CRUCES                                   ";"CRUCE EL-CRUCES          "
44;"OVIEDO                                            ";1706;"LUGAR";"CRUCE EL-OLLONIEGO                                ";"CRUCE EL-OLLONIEGO       "
44;"OVIEDO                                            ";3608;"LUGAR";"CRUCES LAS                                        ";"CRUCES LAS               "
44;"OVIEDO                                            ";2508;"LUGAR";"CRUZ LA                                           ";"CRUZ LA                  "
44;"OVIEDO                                            ";4058;"PSAJE";"CRUZ LA                                           ";"CRUZ LA                  "
44;"OVIEDO                                            ";694;"GTA  ";"CRUZ ROJA DE LA                                   ";"CRUZ ROJA DE LA          "
44;"OVIEDO                                            ";133;"CALLE";"CUATRO ASES DE LA CANCION ASTURIANA               ";"4 ASES CANCION ASTURIANA "
44;"OVIEDO                                            ";628;"PLAZA";"CUATRO CAÑOS                                      ";"CUATRO CAÑOS             "
44;"OVIEDO                                            ";2014;"LUGAR";"CUBA                                              ";"CUBA                     "
44;"OVIEDO                                            ";789;"CALLE";"CUDILLERO                                         ";"CUDILLERO                "
44;"OVIEDO                                            ";2303;"LUGAR";"CUESTA AYONES                                     ";"CUESTA AYONES            "
44;"OVIEDO                                            ";815;"CALLE";"CUESTA DE OLIVARES LA                             ";"CUESTA DE OLIVARES LA    "
44;"OVIEDO                                            ";2802;"LUGAR";"CUESTAS LAS                                       ";"CUESTAS LAS              "
44;"OVIEDO                                            ";3624;"LUGAR";"CUETO                                             ";"CUETO                    "
44;"OVIEDO                                            ";3309;"LUGAR";"CUEVA LA-BOX                                      ";"CUEVA LA-BOX             "
44;"OVIEDO                                            ";1707;"LUGAR";"CUEVA LA-OLLONIEGO                                ";"CUEVA LA-OLLONIEGO       "
44;"OVIEDO                                            ";1807;"LUGAR";"CUYENCES                                          ";"CUYENCES                 "
44;"OVIEDO                                            ";635;"CALLE";"DANIEL MOYANO                                     ";"DANIEL MOYANO            "
44;"OVIEDO                                            ";135;"PLAZA";"DAOIZ Y VELARDE                                   ";"DAOIZ Y VELARDE          "
44;"OVIEDO                                            ";136;"CALLE";"DARIO DE REGOYOS                                  ";"DARIO DE REGOYOS         "
44;"OVIEDO                                            ";4153;"PLAZA";"DEPORTE ADAPTADO DEL                              ";"DEPORTE ADAPTADO DEL     "
44;"OVIEDO                                            ";572;"CALLE";"DERECHOS HUMANOS                                  ";"DERECHOS HUMANOS         "
44;"OVIEDO                                            ";1406;"LUGAR";"DESCANSO DEL VAQUERO                              ";"DESCANSO DEL VAQUERO     "
44;"OVIEDO                                            ";672;"CALLE";"DIAMANTINA RODRIGUEZ                              ";"DIAMANTINA RODRIGUEZ     "
44;"OVIEDO                                            ";1864;"CALLE";"DINAMARCA                                         ";"DINAMARCA                "
44;"OVIEDO                                            ";138;"CALLE";"DIONISIO RIDRUEJO                                 ";"DIONISIO RIDRUEJO        "
44;"OVIEDO                                            ";140;"CALLE";"DOCTOR ALFREDO MARTINEZ                           ";"DOCTOR ALFREDO MARTINEZ  "
44;"OVIEDO                                            ";540;"CALLE";"DOCTOR AMALIO TELENTI                             ";"DOCTOR AMALIO TELENTI    "
44;"OVIEDO                                            ";662;"CALLE";"DOCTOR ANTONIO BASCARAN ASUNSOLO                  ";"ANTONIO BASCARAN ASUNSOLO"
44;"OVIEDO                                            ";141;"CALLE";"DOCTOR BELLMUNT                                   ";"DOCTOR BELLMUNT          "
44;"OVIEDO                                            ";142;"CALLE";"DOCTOR CASAL                                      ";"DOCTOR CASAL             "
44;"OVIEDO                                            ";653;"CALLE";"DOCTOR EDUARDO GONZALEZ MENENDEZ                  ";"EDUARDO GONZALEZ MENENDEZ"
44;"OVIEDO                                            ";626;"CALLE";"DOCTOR FERNANDO BONGERA                           ";"DOCTOR FERNANDO BONGERA  "
44;"OVIEDO                                            ";144;"CALLE";"DOCTOR FLEMING                                    ";"DOCTOR FLEMING           "
44;"OVIEDO                                            ";143;"PSAJE";"DOCTOR FRANCISCO GARCIA DIAZ                      ";"DR. FRANCISCO GARCIA DIAZ"
44;"OVIEDO                                            ";541;"CALLE";"DOCTOR FRANCISCO GRANDE COVIAN                    ";"DR. FCO. GRANDE COVIAN   "
44;"OVIEDO                                            ";583;"CALLE";"DOCTOR JOAQUIN GARCIA MORAN                       ";"DR. JOAQUIN GARCIA MORAN "
44;"OVIEDO                                            ";658;"CALLE";"DOCTOR PEDRO QUIROS                               ";"DOCTOR PEDRO QUIROS      "
44;"OVIEDO                                            ";625;"CALLE";"DOCTOR SOLIS CAJIGAL                              ";"DOCTOR SOLIS CAJIGAL     "
44;"OVIEDO                                            ";665;"CALLE";"DOCTOR VICENTE VALLINA                            ";"DOCTOR VICENTE VALLINA   "
44;"OVIEDO                                            ";657;"AVDA ";"DOCTORES FERNANDEZ VEGA                           ";"DOCTORES FERNANDEZ VEGA  "
44;"OVIEDO                                            ";4013;"PLAZA";"DOLORES MEDIO                                     ";"DOLORES MEDIO            "
44;"OVIEDO                                            ";2832;"CALLE";"DOMINGO RODRIGUEZ                                 ";"DOMINGO RODRIGUEZ        "
44;"OVIEDO                                            ";519;"CALLE";"DON VICTOR QUINTANAR                              ";"DON VICTOR QUINTANAR     "
44;"OVIEDO                                            ";798;"PLAZA";"DONANTES DE SANGRE                                ";"DONANTES DE SANGRE       "
44;"OVIEDO                                            ";4100;"CALLE";"DOÑA GONTRODO                                     ";"DOÑA GONTRODO            "
44;"OVIEDO                                            ";145;"CALLE";"DOÑA ILUMINADA                                    ";"DOÑA ILUMINADA           "
44;"OVIEDO                                            ";4101;"CALLE";"DOÑA JIMENA                                       ";"DOÑA JIMENA              "
44;"OVIEDO                                            ";146;"CALLE";"ECCE HOMO                                         ";"ECCE HOMO                "
44;"OVIEDO                                            ";636;"CALLE";"EDUARDO DE FRAGA TORREJON                         ";"EDUARDO DE FRAGA TORREJON"
44;"OVIEDO                                            ";4156;"CALLE";"EDUARDO GONZALEZ MACANO                           ";"EDUARDO GONZALEZ MACANO  "
44;"OVIEDO                                            ";763;"PLAZA";"EDUARDO GOTA LOSADA                               ";"EDUARDO GOTA LOSADA      "
44;"OVIEDO                                            ";147;"CALLE";"EDUARDO HERRERA ""HERRERITA""                       ";"E. HERRERA ""HERRERITA""   "
44;"OVIEDO                                            ";148;"CALLE";"EDUARDO MARTINEZ TORNER                           ";"EDUARDO MARTINEZ TORNER  "
44;"OVIEDO                                            ";4019;"PLAZA";"EDUARDO URCULO                                    ";"EDUARDO URCULO           "
44;"OVIEDO                                            ";149;"CALLE";"EMIGRANTE                                         ";"EMIGRANTE                "
44;"OVIEDO                                            ";542;"CALLE";"EMILIO ALARCOS LLORACH                            ";"EMILIO ALARCOS LLORACH   "
44;"OVIEDO                                            ";4075;"PLAZA";"EMILIO CASARES RODICIO                            ";"EMILIO CASARES RODICIO   "
44;"OVIEDO                                            ";677;"CALLE";"EMILIO LLANEZA                                    ";"EMILIO LLANEZA           "
44;"OVIEDO                                            ";150;"CALLE";"EMILIO RODRIGUEZ VIGIL                            ";"EMILIO RODRIGUEZ VIGIL   "
44;"OVIEDO                                            ";4076;"PLAZA";"EMILIO SAGI                                       ";"EMILIO SAGI              "
44;"OVIEDO                                            ";679;"CALLE";"ENRIQUE CLAVEROL                                  ";"ENRIQUE CLAVEROL         "
44;"OVIEDO                                            ";908;"CALLE";"ENRIQUE DE OSSO                                   ";"ENRIQUE DE OSSO          "
44;"OVIEDO                                            ";578;"PQUE ";"ENRIQUE QUIROS MONTES DE OCA                      ";"ENRIQUE QUIROS MONTES OCA"
44;"OVIEDO                                            ";4120;"PLAZA";"ENSEÑANZA DE LA                                   ";"ENSEÑANZA DE LA          "
44;"OVIEDO                                            ";3310;"LUGAR";"ENTREPEÑAS                                        ";"ENTREPEÑAS               "
44;"OVIEDO                                            ";1833;"LUGAR";"ERIA LA-COLLOTO                                   ";"ERIA LA-COLLOTO          "
44;"OVIEDO                                            ";581;"CALLE";"ERNESTO WINTER BLANCO                             ";"ERNESTO WINTER BLANCO    "
44;"OVIEDO                                            ";2101;"LUGAR";"ESCALONES LOS                                     ";"ESCALONES LOS            "
44;"OVIEDO                                            ";151;"PLAZA";"ESCANDALERA DE LA                                 ";"ESCANDALERA DE LA        "
44;"OVIEDO                                            ";1737;"LUGAR";"ESCOBADIELLES DE ABAJO                            ";"ESCOBADIELLES DE ABAJO   "
44;"OVIEDO                                            ";1738;"LUGAR";"ESCOBADIELLES DE ARRIBA                           ";"ESCOBADIELLES DE ARRIBA  "
44;"OVIEDO                                            ";3405;"LUGAR";"ESCONTIELLA                                       ";"ESCONTIELLA              "
44;"OVIEDO                                            ";4132;"CALLE";"ESCUELA DE MAGISTERIO                             ";"ESCUELA DE MAGISTERIO    "
44;"OVIEDO                                            ";1824;"CMNO ";"ESCUELAS                                          ";"ESCUELAS                 "
44;"OVIEDO                                            ";152;"CALLE";"ESCULTOR FOLGUERAS                                ";"ESCULTOR FOLGUERAS       "
44;"OVIEDO                                            ";153;"CALLE";"ESCULTOR LAVIADA                                  ";"ESCULTOR LAVIADA         "
44;"OVIEDO                                            ";543;"CALLE";"ESCULTOR NAVASCUES                                ";"ESCULTOR NAVASCUES       "
44;"OVIEDO                                            ";154;"PLAZA";"ESPAÑA DE                                         ";"ESPAÑA DE                "
44;"OVIEDO                                            ";2533;"LUGAR";"ESPRIELLA                                         ";"ESPRIELLA                "
44;"OVIEDO                                            ";1735;"BARRO";"ESTACION DE LA-OLLONIEGO                          ";"ESTACION DE LA-OLLONIEGO "
44;"OVIEDO                                            ";2544;"CTRA ";"ESTACION DE LA-SAN CLAUDIO                        ";"ESTACION DE LA-S. CLAUDIO"
44;"OVIEDO                                            ";2550;"CTRA ";"ESTACION DE LA-SAN ROQUE                          ";"ESTACION DE LA-SAN ROQUE "
44;"OVIEDO                                            ";2409;"LUGAR";"ESTACION-PUERTO                                   ";"ESTACION-PUERTO          "
44;"OVIEDO                                            ";1848;"CTRA ";"ESTRECHA LA                                       ";"ESTRECHA LA              "
44;"OVIEDO                                            ";155;"CALLE";"EUCALIPTOS LOS                                    ";"EUCALIPTOS LOS           "
44;"OVIEDO                                            ";156;"CALLE";"EUGENIO TAMAYO                                    ";"EUGENIO TAMAYO           "
44;"OVIEDO                                            ";157;"CALLE";"EUSEBIO GONZALEZ ABASCAL                          ";"EUSEBIO GONZALEZ ABASCAL "
44;"OVIEDO                                            ";158;"CALLE";"EVARISTO VALLE                                    ";"EVARISTO VALLE           "
44;"OVIEDO                                            ";1103;"LUGAR";"FABERIN                                           ";"FABERIN                  "
44;"OVIEDO                                            ";2827;"LUGAR";"FABRICA DE ARMAS                                  ";"FABRICA DE ARMAS         "
44;"OVIEDO                                            ";2547;"CTRA ";"FABRICA DE LA                                     ";"FABRICA DE LA            "
44;"OVIEDO                                            ";159;"CALLE";"FACETOS                                           ";"FACETOS                  "
44;"OVIEDO                                            ";807;"LUGAR";"FAEDO                                             ";"FAEDO                    "
44;"OVIEDO                                            ";4050;"PLAZA";"FAMILIA TOYOS                                     ";"FAMILIA TOYOS            "
44;"OVIEDO                                            ";1003;"LUGAR";"FARO DE ABAJO                                     ";"FARO DE ABAJO            "
44;"OVIEDO                                            ";1004;"LUGAR";"FARO DE ARRIBA                                    ";"FARO DE ARRIBA           "
44;"OVIEDO                                            ";615;"CALLE";"FAUSTINO GARCIA-ROEL RODRIGUEZ                    ";"FAUSTINO GCIA-ROEL RDGUEZ"
44;"OVIEDO                                            ";3329;"LUGAR";"FAVARIEGA LA                                      ";"FAVARIEGA LA             "
44;"OVIEDO                                            ";161;"CALLE";"FAVILA                                            ";"FAVILA                   "
44;"OVIEDO                                            ";3330;"LUGAR";"FAYA LA                                           ";"FAYA LA                  "
44;"OVIEDO                                            ";74;"CALLE";"FEDERICO GARCIA LORCA                             ";"FEDERICO GARCIA LORCA    "
44;"OVIEDO                                            ";162;"PLAZA";"FEIJOO DE                                         ";"FEIJOO DE                "
44;"OVIEDO                                            ";1602;"LUGAR";"FELECHES                                          ";"FELECHES                 "
44;"OVIEDO                                            ";163;"CALLE";"FELIX ARAMBURU                                    ";"FELIX ARAMBURU           "
44;"OVIEDO                                            ";164;"CALLE";"FERMIN CANELLA                                    ";"FERMIN CANELLA           "
44;"OVIEDO                                            ";166;"CALLE";"FERNANDEZ DE OVIEDO                               ";"FERNANDEZ DE OVIEDO      "
44;"OVIEDO                                            ";167;"CALLE";"FERNANDEZ JUNCOS                                  ";"FERNANDEZ JUNCOS         "
44;"OVIEDO                                            ";83;"CALLE";"FERNANDO ALONSO                                   ";"FERNANDO ALONSO          "
44;"OVIEDO                                            ";4043;"PLAZA";"FERNANDO ALVAREZ GARCIA                           ";"FERNANDO ALVAREZ GARCIA  "
44;"OVIEDO                                            ";170;"CALLE";"FERNANDO DE ROJAS                                 ";"FERNANDO DE ROJAS        "
44;"OVIEDO                                            ";4051;"PLAZA";"FERNANDO RUBIO BARDON                             ";"FERNANDO RUBIO BARDON    "
44;"OVIEDO                                            ";171;"CALLE";"FERNANDO VELA                                     ";"FERNANDO VELA            "
44;"OVIEDO                                            ";172;"CALLE";"FERNANDO VILLAAMIL                                ";"FERNANDO VILLAAMIL       "
44;"OVIEDO                                            ";4109;"CALLE";"FERNANDO ZUAZUA                                   ";"FERNANDO ZUAZUA          "
44;"OVIEDO                                            ";2410;"LUGAR";"FERREDAL                                          ";"FERREDAL                 "
44;"OVIEDO                                            ";775;"PLAZA";"FERROCARRILES ECONOMICOS DE ASTURIAS DE LOS       ";"FERROCARRILES ECONOMICOS "
44;"OVIEDO                                            ";691;"PLAZA";"FERROVIARIOS DE LOS                               ";"FERROVIARIOS DE LOS      "
44;"OVIEDO                                            ";173;"CALLE";"FIERRO                                            ";"FIERRO                   "
44;"OVIEDO                                            ";3512;"LUGAR";"FIGARINES                                         ";"FIGARINES                "
44;"OVIEDO                                            ";1865;"CALLE";"FINLANDIA                                         ";"FINLANDIA                "
44;"OVIEDO                                            ";1808;"LUGAR";"FITORIA                                           ";"FITORIA                  "
44;"OVIEDO                                            ";288;"CALLE";"FLORA TRISTAN                                     ";"FLORA TRISTAN            "
44;"OVIEDO                                            ";4004;"PASEO";"FLORIDA DE LA                                     ";"FLORIDA DE LA            "
44;"OVIEDO                                            ";1711;"LUGAR";"FOCARA DE ABAJO                                   ";"FOCARA DE ABAJO          "
44;"OVIEDO                                            ";1743;"LUGAR";"FOCARA DE ARRIBA                                  ";"FOCARA DE ARRIBA         "
44;"OVIEDO                                            ";910;"LUGAR";"FOLGUERA                                          ";"FOLGUERA                 "
44;"OVIEDO                                            ";3002;"LUGAR";"FOLGUERAS                                         ";"FOLGUERAS                "
44;"OVIEDO                                            ";174;"CALLE";"FONCALADA                                         ";"FONCALADA                "
44;"OVIEDO                                            ";175;"PLAZA";"FONCALADA                                         ";"FONCALADA                "
44;"OVIEDO                                            ";4059;"PSAJE";"FONTABIAN                                         ";"FONTABIAN                "
44;"OVIEDO                                            ";176;"CALLE";"FONTAN                                            ";"FONTAN                   "
44;"OVIEDO                                            ";4060;"PSAJE";"FONTANINES, LES                                   ";"FONTANINES, LES          "
44;"OVIEDO                                            ";3204;"LUGAR";"FOZALGUERA                                        ";"FOZALGUERA               "
44;"OVIEDO                                            ";4146;"CALLE";"FRANCISCO ARIAS DE VELASCO Y SARANDESES           ";"FRANCISCO ARIAS DE VELASC"
44;"OVIEDO                                            ";177;"CALLE";"FRANCISCO BANCES CANDAMO                          ";"FRANCISCO BANCES CANDAMO "
44;"OVIEDO                                            ";179;"CALLE";"FRANCISCO CAMBO                                   ";"FRANCISCO CAMBO          "
44;"OVIEDO                                            ";607;"TRVA ";"FRANCISCO GONZALEZ ARGÜELLES                      ";"FRANCISCO GLEZ ARGÜELLES "
44;"OVIEDO                                            ";667;"CALLE";"FRANCISCO PINTADO FE                              ";"FRANCISCO PINTADO FE     "
44;"OVIEDO                                            ";181;"CALLE";"FRANCISCO REITER                                  ";"FRANCISCO REITER         "
44;"OVIEDO                                            ";1221;"CALLE";"FRANCO EL                                         ";"FRANCO EL                "
44;"OVIEDO                                            ";182;"CALLE";"FRATERNIDAD                                       ";"FRATERNIDAD              "
44;"OVIEDO                                            ";183;"CALLE";"FRAY CEFERINO                                     ";"FRAY CEFERINO            "
44;"OVIEDO                                            ";3620;"LUGAR";"FRESNO                                            ";"FRESNO                   "
44;"OVIEDO                                            ";199;"PLAZA";"FRESNO DEL                                        ";"FRESNO DEL               "
44;"OVIEDO                                            ";816;"CALLE";"FRIALDA DE OLIVARES LA                            ";"FRIALDA DE OLIVARES LA   "
44;"OVIEDO                                            ";3609;"LUGAR";"FRIERA-CRUCES                                     ";"FRIERA-CRUCES            "
44;"OVIEDO                                            ";1852;"LUGAR";"FRIERA-LA GRANXA                                  ";"FRIERA-LA GRANXA         "
44;"OVIEDO                                            ";185;"CALLE";"FRUELA                                            ";"FRUELA                   "
44;"OVIEDO                                            ";1731;"LUGAR";"FUENTE DE ABAJO                                   ";"FUENTE DE ABAJO          "
44;"OVIEDO                                            ";1733;"LUGAR";"FUENTE DE ARRIBA                                  ";"FUENTE DE ARRIBA         "
44;"OVIEDO                                            ";616;"LUGAR";"FUENTE DE LA PLATA                                ";"FUENTE DE LA PLATA       "
44;"OVIEDO                                            ";1206;"LUGAR";"FUENTE DEL FORNO                                  ";"FUENTE DEL FORNO         "
44;"OVIEDO                                            ";187;"CALLE";"FUENTE DEL PRADO                                  ";"FUENTE DEL PRADO         "
44;"OVIEDO                                            ";1826;"LUGAR";"FUENTE DEL RIO-COLLOTO                            ";"FUENTE DEL RIO-COLLOTO   "
44;"OVIEDO                                            ";749;"CALLE";"FUENTE DEL RIO-CORREDORIA                         ";"FUENTE DEL RIO-CORREDORIA"
44;"OVIEDO                                            ";4062;"PSAJE";"FUENTE EL SAPU                                    ";"FUENTE EL SAPU           "
44;"OVIEDO                                            ";660;"PLAZA";"FUENTE LA BRAÑA                                   ";"FUENTE LA BRAÑA          "
44;"OVIEDO                                            ";186;"CALLE";"FUENTE LA PLATA                                   ";"FUENTE LA PLATA          "
44;"OVIEDO                                            ";188;"CALLE";"FUERO EL                                          ";"FUERO EL                 "
44;"OVIEDO                                            ";189;"CALLE";"FUERTES ACEVEDO                                   ";"FUERTES ACEVEDO          "
44;"OVIEDO                                            ";570;"CALLE";"FUMAXIL                                           ";"FUMAXIL                  "
44;"OVIEDO                                            ";1727;"LUGAR";"FUMEA                                             ";"FUMEA                    "
44;"OVIEDO                                            ";692;"AVDA ";"FUNDACION PRINCIPE DE ASTURIAS                    ";"F. PRINCIPE DE ASTURIAS  "
44;"OVIEDO                                            ";721;"PLAZA";"GABINO DIAZ MERCHAN                               ";"GABINO DIAZ MERCHAN      "
44;"OVIEDO                                            ";190;"AVDA ";"GALICIA DE                                        ";"GALICIA DE               "
44;"OVIEDO                                            ";4068;"CALLE";"GANADEROS ASTURIANOS                              ";"GANADEROS ASTURIANOS     "
44;"OVIEDO                                            ";191;"CALLE";"GARDENIAS LAS                                     ";"GARDENIAS LAS            "
44;"OVIEDO                                            ";192;"CALLE";"GASCONA                                           ";"GASCONA                  "
44;"OVIEDO                                            ";668;"CALLE";"GASPAR GARCIA LAVIANA                             ";"GASPAR GARCIA LAVIANA    "
44;"OVIEDO                                            ";2552;"CTRA ";"GENERAL                                           ";"GENERAL                  "
44;"OVIEDO                                            ";1825;"CTRA ";"GENERAL COLLOTO SANTANDER                         ";"GENERAL COLLOTO SANTANDER"
44;"OVIEDO                                            ";2814;"CALLE";"GENERAL CUBILLO                                   ";"GENERAL CUBILLO          "
44;"OVIEDO                                            ";193;"CALLE";"GENERAL ELORZA                                    ";"GENERAL ELORZA           "
44;"OVIEDO                                            ";2817;"CALLE";"GENERAL ELORZA-TRUBIA                             ";"GENERAL ELORZA-TRUBIA    "
44;"OVIEDO                                            ";2815;"CALLE";"GENERAL FONS DE VIELA                             ";"GENERAL FONS DE VIELA    "
44;"OVIEDO                                            ";194;"PLAZA";"GENERAL ORDOÑEZ DEL                               ";"GENERAL ORDOÑEZ DEL      "
44;"OVIEDO                                            ";2833;"PLAZA";"GENERAL ORDOÑEZ DEL-TRUBIA                        ";"GENERAL ORDOÑEZ DEL-TRUBI"
44;"OVIEDO                                            ";195;"PLAZA";"GENERAL PRIMO DE RIVERA                           ";"GENERAL PRIMO DE RIVERA  "
44;"OVIEDO                                            ";2837;"PLAZA";"GENERAL REINA DEL                                 ";"GENERAL REINA DEL        "
44;"OVIEDO                                            ";544;"CALLE";"GENERAL SABINO FERNANDEZ CAMPO                    ";"G. SABINO FERNANDEZ CAMPO"
44;"OVIEDO                                            ";197;"CALLE";"GENERAL ZUVILLAGA                                 ";"GENERAL ZUVILLAGA        "
44;"OVIEDO                                            ";198;"CALLE";"GERANIOS LOS                                      ";"GERANIOS LOS             "
44;"OVIEDO                                            ";744;"AVDA ";"GIJON DE                                          ";"GIJON DE                 "
44;"OVIEDO                                            ";200;"CALLE";"GIL BLAS                                          ";"GIL BLAS                 "
44;"OVIEDO                                            ";201;"CALLE";"GIL DE JAZ                                        ";"GIL DE JAZ               "
44;"OVIEDO                                            ";116;"CALLE";"GLORIA FUERTES                                    ";"GLORIA FUERTES           "
44;"OVIEDO                                            ";701;"LUGAR";"GODOS                                             ";"GODOS                    "
44;"OVIEDO                                            ";557;"CALLE";"GOICO AGUIRRE                                     ";"GOICO AGUIRRE            "
44;"OVIEDO                                            ";202;"CALLE";"GONZALEZ BESADA                                   ";"GONZALEZ BESADA          "
44;"OVIEDO                                            ";203;"CALLE";"GONZALEZ DEL VALLE                                ";"GONZALEZ DEL VALLE       "
44;"OVIEDO                                            ";2822;"LUGAR";"GORTALLO EL                                       ";"GORTALLO EL              "
44;"OVIEDO                                            ";204;"CALLE";"GOYA                                              ";"GOYA                     "
44;"OVIEDO                                            ";796;"CALLE";"GOZON                                             ";"GOZON                    "
44;"OVIEDO                                            ";724;"CALLE";"GRADO                                             ";"GRADO                    "
44;"OVIEDO                                            ";205;"CALLE";"GRANADOS                                          ";"GRANADOS                 "
44;"OVIEDO                                            ";3333;"LUGAR";"GRANDA LA-BOX                                     ";"GRANDA LA-BOX            "
44;"OVIEDO                                            ";1207;"LUGAR";"GRANDA LA-MANJOYA                                 ";"GRANDA LA-MANJOYA        "
44;"OVIEDO                                            ";2411;"LUGAR";"GRANDAS                                           ";"GRANDAS                  "
44;"OVIEDO                                            ";1505;"LUGAR";"GRANDOTA LA                                       ";"GRANDOTA LA              "
