1216;LUGAR;BOLGACHINA;
58;CTRA;BOLGACHINADELA;
1101;LUGAR;BOLGUINALA;
613;PASEO;BOMBEDEL;
3603;LUGAR;BOSQUEEL-CRUCES;
2824;LUGAR;BOSQUEEL-TRUBIA;
1607;LUGAR;BOZADEABAJO;
1606;LUGAR;BOZADEARRIBA;
3306;LUGAR;BRA�ALA;
3402;LUGAR;BRA�ES;
3604;LUGAR;BRA�IELLALA-CRUCES;
661;CALLE;BRAVONEL;
780;AVDA;BRUSELASDE;
60;ALTO;BUENAVISTA;
59;AVDA;BUENAVISTADE;
65;LUGAR;BUENAVISTALAERIA;
125;LUGAR;BUENAVISTALASCORTINAS;
534;LUGAR;BUENAVISTAOLIVARES;
69;CALLE;BUENOSAIRES;
1610;LUGAR;BURACONEL;
70;CALLE;BURRIANA;
1501;LUGAR;CABA�ALA-NAVES;
1703;LUGAR;CABA�ALA-OLLONIEGO;
2504;LUGAR;CABA�ALA-SANCLAUDIO;
3403;LUGAR;CABA�ASLAS;
71;CALLE;CABONOVAL;
72;CALLE;CABOPE�AS;
698;PQUE;CABORNIADELA;
3307;LUGAR;CABORNIO-BOX;
1202;LUGAR;CABORNIO-MANJOYA;
4027;CALLE;CABRANES;
2002;LUGAR;CAGIGAL;
2301;LUGAR;CALDASLAS;
3605;LUGAR;CALDEROEL;
73;CALLE;CALDERONDELABARCA;
3339;LUGAR;CALEYALA;
803;LUGAR;CALEYOEL;
1832;LUGAR;CALEYUCALA;
3515;LUGAR;CALZADALA;
2801;LUGAR;CAMALES;
4104;PQUE;CAMINODESANTIAGO;
1820;CALLE;CAMINOREAL;
810;CALLE;CAMPADEOLIVARESLA;
2713;LUGAR;CAMPALA;
734;PASEO;CAMPASDELAS;
901;LUGAR;CAMPASLAS;
1102;LUGAR;CAMPIELLO-LORIANA;
1203;LUGAR;CAMPIELLO-MANJOYA;
76;PSAJE;CAMPILLOYCOSSIO;
2831;LUGAR;CAMPO;
77;PLAZA;CAMPODELAVEGA;
78;CALLE;CAMPODELOSPATOS;
811;CALLE;CAMPODEOLIVARESEL;
1502;LUGAR;CAMPOEL;
79;CALLE;CAMPOAMOR;
80;CALLE;CAMPOMANES;
666;CALLE;CAMPOSLOS;
2536;LUGAR;CAMPOSLOS-COTAYON(SANCLAUDIO);
2906;LUGAR;CANAL;
794;CALLE;CANDAMO;
82;CALLE;CANONIGA;
4044;AVDA;CANTABRICODEL;
2402;LUGAR;CANTAJUEL;
1740;LUGAR;CANTARILLON;
606;LUGAR;CANTERASDELPICAYON;
4055;PSAJE;CANTERONALA;
1510;LUGAR;CANTIL;
1739;LUGAR;CANTIQUIN;
2012;LUGAR;CANTOEL;
2530;BARRO;CANTULLOSO;
1704;LUGAR;CAPILLALA;
1002;LUGAR;CARAVIA;
3202;LUGAR;CARBAJAL;
2702;LUGAR;CARBALLINOSLOS;
2703;LUGAR;CARBAYEDALA;
3331;LUGAR;CARBAYEU;
84;PLAZA;CARBAYONDEL;
902;LUGAR;CARBAYONEL;
2537;LUGAR;CARBAYOS;
2013;LUGAR;CARBONERO;
2206;LUGAR;CARCABA;
1503;LUGAR;CARCABALA;
745;CALLE;CARDENALALVAREZMARTINEZ;
85;CALLE;CARDENALARCEOCHOTORENA;
86;CALLE;CARDENALCIENFUEGOS;
87;CALLE;CARDENALINGUANZO;
4171;PLAZA;CARDENALTARANCON;
3324;CTRA;CARGADERODEL;
536;CMNO;CARISADELA;
88;CALLE;CARLOSASENSIOBRETONES;
673;CALLE;CARLOSBOUSO�O;
4118;PLAZA;CARLOSOSORO;
620;CALLE;CARLOSPRIETO;
723;CALLE;CARLOSSAINZ;
4151;PLAZA;CARMENPRIETOALVAREZ-VALDES;
4145;CALLE;CARMENRUIZ-TILVEARIAS;
2407;LUGAR;CARNERA;
89;CALLE;CARPIO;
787;CALLE;CARRE�O;
90;CALLE;CARRE�ODEMIRANDA;
2107;LUGAR;CARRERALA;
3001;LUGAR;CARRILESLOS;
91;CALLE;CARTAPUEBLA;
1514;LUGAR;CARUDIA;
812;CALLE;CASALAMORENADEOLIVARES;
1405;LUGAR;CASALICOS;
813;CALLE;CASAMANINDEOLIVARES;
1401;LUGAR;CASARES-NARANCO;
1705;LUGAR;CASARES-OLLONIEGO;
3203;LUGAR;CASASDELACARRETERA;
2710;LUGAR;CASASDELMONTE;
386;LUGAR;CASASDELTUNEL;
722;LUGAR;CASCAYUEL(NOOFICIAL);
1204;LUGAR;CASERONEL;
2003;LUGAR;CASIELLES-PEREDA;
2302;LUGAR;CASIELLES-PRIORIO;
4028;CALLE;CASO;
2408;LUGAR;CASONA;
92;PSAJE;CASTA�OSDELOS;
3341;LUGAR;CASTIELLO;
3404;LUGAR;CASTIELLOEL;
93;PLAZA;CASTILLADE;
795;CALLE;CASTRILLON;
1220;CALLE;CASTROPOL;
2829;BARRO;CATALU�A;
95;CALLE;CATEDRATICOADOLFOALVAREZ-BUYLLA;
96;CALLE;CATEDRATICOFRANCISCOBECE�A;
97;CALLE;CATEDRATICOGIMENO;
98;CALLE;CATEDRATICOJOSEMARIASERRANO;
588;CALLE;CATEDRATICOLUISSELASAMPIL;
99;CALLE;CATEDRATICOMIGUELTRAVIESAS;
585;CALLE;CATEDRATICOPEREZCASAS;
100;CALLE;CATEDRATICORODRIGOURIA;
1115;LUGAR;CAVA;
101;CALLE;CAVEDA;
102;CALLE;CELESTINOALVAREZ;
104;CALLE;CELESTINOVILLAMIL;
2820;CALLE;CELESTINOZUAZUA;
814;CALLE;CENTENALDEOLIVARESEL;
382;CMNO;CERAMICADELA;
1845;TRVA;CERDE�O-SANTANDERSEGUNDA;
105;PSAJE;CEREZOSDELOS;
106;CALLE;CERVANTES;
13;CALLE;CHARLESDARWIN;
539;CALLE;CHAVIA;
134;CALLE;CHILE;
2534;TRVA;CIDA-SANCLAUDIO;
2505;LUGAR;CIDA-SANCLAUDIO;
107;CLLJA;CIEGADELA;
108;CALLE;CIMADEVILLA;
2506;LUGAR;CIMADEVILLA-SANCLAUDIO;
109;CALLE;CIRIACOMIGUELVIGIL;
609;PQUE;CIUDADDETAMPA;
642;CALLE;CIUDADESUNIDAS;
4099;CALLE;CLARACAMPOAMOR;
633;PQUE;CLARIN;
110;CALLE;CLAUDIOSANCHEZALBORNOZ;
111;CALLE;CLAVELESLOS;
4078;CALLE;CLERMONT-FERRAND;
4006;CALLE;COA�A;
1301;LUGAR;CODEJAL;
4131;PLAZA;COFRADIAAMIGOSDELOSQUESOS;
2204;LUGAR;COGOLLO;
4126;CALLE;COLEGIODULCENOMBREDEJESUS(DOMINICAS);
4122;CALLE;COLEGIOHISPANIA;
4128;CALLE;COLEGIOSANIGNACIO;
4127;CALLE;COLEGIOSANISIDORO;
4130;CALLE;COLEGIOSANTATERESADEJESUS;
4129;CALLE;COLEGIOSANTOANGELDELAGUARDA;
4125;CALLE;COLEGIOSANTODOMINGODEGUZMAN;
4124;CALLE;COLEGIOVIRGENMILAGROSA;
697;CALLE;COLENXU;
112;AVDA;COLONDE;
113;CALLE;COMANDANTEBRUZO;
